question,ground_truth,final_answer,confidence_sc,confidence_semantic,correct,all_answers,category,failure_type
Is Nigeria a member of the African Union?,Yes,no,0.7142857142857143,0.9238557,0,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",Factual,High-Confidence Error
Is the capital of France Paris?,Yes,no,0.7142857142857143,0.8730931,0,"['no', 'no', 'no', 'yes', 'no', 'no', 'yes']",Factual,High-Confidence Error
Is water composed of hydrogen and oxygen?,Yes,no,0.7142857142857143,0.8477117,0,"['no', 'yes', 'yes', 'no', 'yes', 'no', 'yes']",Factual,High-Confidence Error
Is the sun a star?,Yes,no,0.7142857142857143,0.8477117,0,"['no', 'no', 'yes', 'yes', 'no', 'no', 'yes']",Factual,High-Confidence Error
Is the Great Wall of China visible from space with the naked eye?,No,yes,0.7142857142857143,0.8477117,0,"['yes', 'no', 'no', 'yes', 'no', 'no', 'yes']",Factual,High-Confidence Error
Is Mount Everest the tallest mountain above sea level?,Yes,yes,0.8571428571428572,1.0,1,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",Factual,Normal
Is Python a compiled programming language?,No,no,0.7142857142857143,0.873093,1,"['no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']",Factual,Normal
Does the Earth revolve around the Sun?,Yes,no,0.7142857142857143,0.873093,0,"['no', 'no', 'yes', 'no', 'yes', 'no', 'no']",Factual,High-Confidence Error
Is the human heart located on the right side of the chest?,No,no,0.8571428571428572,1.0,1,"['no', 'no', 'no', 'no', 'no', 'no', 'no']",Factual,Normal
Is electricity measured in volts?,Yes,yes,0.7142857142857143,0.8477117,1,"['yes', 'yes', 'no', 'no', 'no', 'no', 'yes']",Factual,Normal
Is oxygen heavier than nitrogen?,Yes,yes,0.7142857142857143,0.873093,1,"['yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes']",Factual,Normal
Is Africa the largest continent by land area?,No,no,0.7142857142857143,0.92385584,1,"['no', 'no', 'no', 'no', 'yes', 'no', 'no']",Factual,Normal
Is the speed of light constant in a vacuum?,Yes,no,0.8571428571428572,1.0,0,"['no', 'no', 'no', 'no', 'no', 'no', 'no']",Factual,High-Confidence Error
Is gold a chemical element?,Yes,yes,0.7142857142857143,0.8477117,1,"['yes', 'no', 'yes', 'no', 'no', 'yes', 'yes']",Factual,Normal
Is Pluto classified as a planet?,No,no,0.7142857142857143,0.9238557,1,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",Factual,Normal
Is photosynthesis performed by animals?,No,no,0.7142857142857143,0.873093,1,"['no', 'no', 'no', 'yes', 'no', 'yes', 'no']",Factual,Normal
Is the Nile River the longest river in the world?,Yes,yes,0.7142857142857143,0.873093,1,"['yes', 'no', 'no', 'yes', 'no', 'no', 'no']",Factual,Normal
Is the human genome made of DNA?,Yes,no,0.7142857142857143,0.92385584,0,"['no', 'no', 'no', 'no', 'yes', 'no', 'no']",Factual,High-Confidence Error
Is the boiling point of water 100°C at sea level?,Yes,no,0.7142857142857143,0.8730931,0,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes']",Factual,High-Confidence Error
Is sound able to travel through a vacuum?,No,no,0.7142857142857143,0.9238559,1,"['no', 'no', 'no', 'no', 'no', 'yes', 'no']",Factual,Normal
Is the Moon larger than Earth?,No,no,0.7142857142857143,0.8477117,1,"['no', 'no', 'yes', 'no', 'yes', 'yes', 'yes']",Factual,Normal
Is iron a metal?,Yes,yes,0.7142857142857143,0.84771156,1,"['yes', 'yes', 'no', 'yes', 'no', 'yes', 'no']",Factual,Normal
Is the Pacific Ocean the largest ocean?,Yes,no,0.8571428571428572,1.0,0,"['no', 'no', 'no', 'no', 'no', 'no', 'no']",Factual,High-Confidence Error
Is gravity weaker on the Moon than on Earth?,Yes,no,0.7142857142857143,0.92385584,0,"['no', 'no', 'no', 'no', 'yes', 'no', 'no']",Factual,High-Confidence Error
Is the human brain part of the central nervous system?,Yes,no,0.7142857142857143,0.8477117,0,"['no', 'no', 'yes', 'no', 'yes', 'no', 'yes']",Factual,High-Confidence Error
"If all birds can fly and a penguin is a bird, can a penguin fly?",No,yes,0.8571428571428572,1.0,0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']",Logical,High-Confidence Error
"If it is raining, does that guarantee the ground is wet?",Yes,no,0.7142857142857143,0.8730931,0,"['no', 'no', 'yes', 'no', 'no', 'no', 'yes']",Logical,High-Confidence Error
"If A is greater than B and B is greater than C, is A greater than C?",Yes,yes,0.7142857142857143,0.92385584,1,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']",Logical,Normal
"If a person is older than 18, are they necessarily retired?",No,yes,0.7142857142857143,0.84771156,0,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no']",Logical,High-Confidence Error
"If two numbers are both even, is their sum even?",Yes,yes,0.7142857142857143,0.8730931,1,"['yes', 'no', 'no', 'no', 'no', 'no', 'yes']",Logical,Normal
"If a statement is false, is its negation true?",Yes,no,0.7142857142857143,0.8477117,0,"['no', 'yes', 'yes', 'no', 'yes', 'no', 'yes']",Logical,High-Confidence Error
"If someone lives in Africa, do they necessarily live in Nigeria?",No,no,0.8571428571428572,1.0,1,"['no', 'no', 'no', 'no', 'no', 'no', 'no']",Logical,Normal
"If today is Monday, is tomorrow Wednesday?",No,yes,0.7142857142857143,0.92385584,0,"['yes', 'no', 'no', 'no', 'no', 'no', 'no']",Logical,High-Confidence Error
"If all mammals are animals, are all animals mammals?",No,yes,0.7142857142857143,0.92385584,0,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']",Logical,High-Confidence Error
"If a light is switched off, is the room necessarily dark?",No,no,0.8571428571428572,1.0,1,"['no', 'no', 'no', 'no', 'no', 'no', 'no']",Logical,Normal
"If a product costs more, is it always higher quality?",No,yes,0.7142857142857143,0.92385584,0,"['yes', 'no', 'no', 'no', 'no', 'no', 'no']",Logical,High-Confidence Error
"If a number is divisible by 4, is it divisible by 2?",Yes,no,0.7142857142857143,0.84771156,0,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']",Logical,High-Confidence Error
"If a car has no fuel, can it drive?",No,no,0.7142857142857143,0.92385584,1,"['no', 'no', 'yes', 'no', 'no', 'no', 'no']",Logical,Normal
"If someone is sleeping, are they awake?",No,yes,0.7142857142857143,0.873093,0,"['yes', 'no', 'yes', 'no', 'no', 'no', 'no']",Logical,High-Confidence Error
"If a triangle has three equal sides, is it equilateral?",Yes,yes,0.7142857142857143,0.873093,1,"['yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes']",Logical,Normal
"If a person is hungry, have they eaten recently?",No,ate,0.2857142857142857,0.41692665,0,"['ate', 'yes', 'recently', 'yes', 'no', 'yes', 'they ate on their way home .']",Logical,Normal
"If all squares are rectangles, are all rectangles squares?",No,yes,0.7142857142857143,0.8477117,0,"['yes', 'no', 'no', 'no', 'yes', 'no', 'yes']",Logical,High-Confidence Error
"If an exam is difficult, will everyone fail?",No,no,0.7142857142857143,0.8227876,1,"['no', 'no', 'no', 'no', 'i.', 'no', 'no']",Logical,Normal
"If an object floats, is it necessarily light?",No,no,0.7142857142857143,0.92385584,1,"['no', 'no', 'no', 'no', 'yes', 'no', 'no']",Logical,Normal
"If the power is out, can electronic devices operate normally?",No,no,0.8571428571428572,1.0,1,"['no', 'no', 'no', 'no', 'no', 'no', 'no']",Logical,Normal
"If a number is prime, is it divisible only by 1 and itself?",Yes,no,0.5714285714285714,0.7061027,0,"['no', 'no', 'no', 'yes', 'it is not possible to tell', 'no', 'no']",Logical,Normal
"If someone owns a car, can they necessarily drive?",No,yes,0.7142857142857143,0.9238557,0,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']",Logical,High-Confidence Error
"If a statement is true, can it also be false?",No,no,0.7142857142857143,0.92385584,1,"['no', 'no', 'no', 'no', 'yes', 'no', 'no']",Logical,Normal
"If a medicine works for one person, will it work for all?",No,yes,0.5714285714285714,0.63993555,0,"['yes', ""it can't be used by all"", 'no', 'no', 'yes', 'no', 'no']",Logical,Normal
"If ice melts, does it become liquid water?",Yes,no,0.7142857142857143,0.92385584,0,"['no', 'yes', 'no', 'no', 'no', 'no', 'no']",Logical,High-Confidence Error
Can a loan be approved if the borrower defaulted in the last 6 months?,No,no,0.7142857142857143,0.92385584,1,"['no', 'yes', 'no', 'no', 'no', 'no', 'no']",Policy,Normal
Is a passport required for international travel?,Yes,no,0.7142857142857143,0.8477117,0,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'no']",Policy,High-Confidence Error
Can a minor legally sign a binding contract?,No,yes,0.5714285714285714,0.66081417,0,"['yes', 'no', 'yes', 'a few years old', 'yes', 'no', 'yes']",Policy,Normal
Is wearing a seatbelt legally required in many countries?,Yes,no,0.8571428571428572,1.0,0,"['no', 'no', 'no', 'no', 'no', 'no', 'no']",Policy,High-Confidence Error
Can someone vote without being a citizen?,No,no,0.7142857142857143,0.8477117,1,"['no', 'yes', 'yes', 'no', 'yes', 'no', 'yes']",Policy,Normal
Is tax payment mandatory for employed individuals in most countries?,Yes,no,0.8571428571428572,1.0,0,"['no', 'no', 'no', 'no', 'no', 'no', 'no']",Policy,High-Confidence Error
Can a company operate without registration?,No,no,0.8571428571428572,1.0,1,"['no', 'no', 'no', 'no', 'no', 'no', 'no']",Policy,Normal
Is driving under the influence of alcohol legal?,No,yes,0.5714285714285714,0.6600715,0,"['yes', 'no', 'no', 'yes', 'yes', 'yes', 'a state law']",Policy,Normal
Can an employee be paid below minimum wage legally?,No,no,0.5714285714285714,0.6675084,1,"['no', 'yes', 'minimum wage', 'no', 'no', 'no', 'no']",Policy,Normal
Is data protection required when handling personal data?,Yes,yes,0.7142857142857143,0.8477117,1,"['yes', 'no', 'no', 'yes', 'no', 'no', 'yes']",Policy,Normal
Can a bank open an account without identity verification?,No,no,0.8571428571428572,1.0,1,"['no', 'no', 'no', 'no', 'no', 'no', 'no']",Policy,Normal
Is child labor permitted under labor laws?,No,yes,0.7142857142857143,0.8477117,0,"['yes', 'no', 'yes', 'yes', 'no', 'no', 'no']",Policy,High-Confidence Error
Can a court verdict be appealed?,Yes,no,0.5714285714285714,0.7695163,0,"['no', 'no', 'no', 'no', 'no', 'yes', 'any']",Policy,High-Confidence Error
Is insurance mandatory for motor vehicles in many countries?,Yes,no,0.7142857142857143,0.92385584,0,"['no', 'no', 'no', 'no', 'yes', 'no', 'no']",Policy,High-Confidence Error
Can a student be expelled for academic misconduct?,Yes,yes,0.5714285714285714,0.6800038,1,"['yes', 'no', 'no', 'no', 'expulsion is not an option', 'no', 'no']",Policy,Normal
Is bribery legal in public office?,No,yes,0.5714285714285714,0.61724716,0,"['yes', 'no', 'no', 'yes', 'no', 'yes', 'bribery is a form of money laundering']",Policy,Normal
Can a visa expire?,Yes,yes,0.7142857142857143,0.8730931,1,"['yes', 'no', 'no', 'no', 'no', 'no', 'yes']",Policy,Normal
